metric,mean,sd
polity_mean,3.2741666666666713,0.73785290507601
polity_q50,2.05,0.4927166976673072
polity_q90,7.956000000000015,1.9266001684628877
polity_q95,10.834000000000007,3.0964168175324405
polity_q99,18.472799999999935,6.5541475413150705
polity_max,31.9,16.318881562146856
polity_zero_frac,0.2436111111111099,0.04633472841426927
polity_var_mean,5.283737660442507,2.622157066604736
at_risk_share_total,0.5680686412813819,0.10160255991375335
top5_share_students,0.44989224620491713,0.1030178763016089
student_zero_frac,0.20659999999999945,0.041332047535827206
control_days_total,61.62,14.310245868561665
control_activation_count,28.42,10.600398758424015
control_day_frac,0.6846666666666623,0.15900273187290773
trigger_day_frac,0.3157777777777776,0.11778220842693357
incidents_mean_control_on,13.173705624940727,2.967353495790808
incidents_mean_control_off,14.593691185809044,8.035848116834744
trigger_day_mean_incidents,23.143800764884634,2.7893646800157854
next_day_after_trigger_mean_incidents,14.386748347861255,3.461677314411866
mean_drop_after_trigger,8.757052417023525,2.793109705843358
