seed,class_mean,class_q50,class_q90,class_q95,class_q99,class_max,class_zero_frac,class_var_mean,at_risk_share_total,top5_share_students,student_zero_frac,control_days_total,control_activation_count,control_day_frac,trigger_day_frac,incidents_mean_control_on,incidents_mean_control_off,trigger_day_mean_incidents,next_day_after_trigger_mean_incidents,mean_drop_after_trigger
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
1,2.4,1.0,6.0,8.0,11.0,26.0,0.2638888888888889,3.531104921077066,0.5347222222222222,0.42592592592592593,0.18,45,12,0.5,0.13333333333333333,8.822222222222223,10.377777777777778,23.833333333333332,8.666666666666666,15.166666666666666
2,3.216666666666667,2.0,8.0,10.0,18.870000000000175,29.0,0.2361111111111111,5.009684356372768,0.5785837651122625,0.4533678756476684,0.19,67,28,0.7444444444444445,0.3111111111111111,11.746268656716419,16.130434782608695,22.714285714285715,12.571428571428571,10.142857142857144
2,3.216666666666667,2.0,8.0,10.0,18.870000000000175,29.0,0.2361111111111111,5.009684356372768,0.5785837651122625,0.4533678756476684,0.19,67,28,0.7444444444444445,0.3111111111111111,11.746268656716419,16.130434782608695,22.714285714285715,12.571428571428571,10.142857142857144
2,3.216666666666667,2.0,8.0,10.0,18.870000000000175,29.0,0.2361111111111111,5.009684356372768,0.5785837651122625,0.4533678756476684,0.19,67,28,0.7444444444444445,0.3111111111111111,11.746268656716419,16.130434782608695,22.714285714285715,12.571428571428571,10.142857142857144
